,Afghanistan,Albania,Algeria,American Samoa,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Azerbaijan,Benin,Bermuda,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bhutan,British Virgin Islands,Brunei Darussalam,Belize,Bulgaria,Burkina Faso,Cambodia,Canada,Cayman Islands,Cape Verde,Central African Republic,Cameroon,Chad,China,Chile,Colombia,Comoros,Congo,Costa Rica,Cook Islands,Croatia,Cuba,Cyprus,Czechia,Czechoslovakia,Czech republic,Burundi,Democratic Republic of the Congo,Burma,Denmark,Djibouti,Dominica,Dominican Republic,Egypt,Eritrea,Ethiopia,Estonia,Falkland Islands (Malvinas),Faeroe Islands,Fiji,Equatorial Guinea,Finland,France,French Guiana,El Salvador,French Polynesia,Gabon,Gambia,Georgia,Germany,Gibraltar,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Greece,Guyana,Haiti,Honduras,Ghana,Hong Kong Special Administrative Region (China),Ecuador,Hungary,Iceland,Inde,Iraq,Ireland,Iran,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Indonesia,Kenya,Kiribati,Kosovo,India,Laos,Latvia,Lesotho,Liberia,Lebanon,Libya,Lithuania,Luxembourg,Kyrgyzstan,Macao Special Administrative Region (China),Kuwait,Macedonia,Madagascar,Malaysia,Mali,Maldives,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Malta,Montserrat,Morocco,Mozambique,New Zealand,Nicaragua,Niger,New Caledonia,Nigeria,Niue,Northern Mariana Islands,Netherlands Antilles,Netherlands,North Korea,Nepal,Norway,Oman,Pakistan,Nauru,Namibia,Malawi,Peru,Philippines,Paraguay,Poland,Portugal,Puerto Rico,Papua New Guinea,Qatar,Reunion,Romania,Russian Federation & USSR,Panama,Rwanda,Saint Kitts and Nevis,Saint Helena,Saint Pierre and Miquelon,Saint Lucia,Samoa,Saint Vincent and the Grenadines,Sao Tome and Principe,Palestinian Territories,Saudi Arabia,Senegal,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Slovakia,Spain,Sri Lanka,Sudan,Singapore,Suriname,Swaziland,Sweden,Sierra Leone,Switzerland,Syria,Tanzania,Tajikistan,Thailand,Timor-Leste,Taiwan,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Seychelles,Turks and Caicos Islands,Serbia,Uganda,Ukraine,United States Virgin Islands,Uruguay,United States of America,U.S. Pacific Islands,United Kingdom,U.S. Territories,United Arab Emirates,Uzbekistan,Venezuela,Zambia,Yugoslavia,Yemen,Western Sahara,Wake Island,Vanuatu,Viet Nam,Zimbabwe
1980-01-01 00:00:00,0.668346381,4.52014988,19.820143338,0.15133154,1.45769561,0.15133154,41.130488009,,,68.396883555,28.645538937,1.5133154,3.47305889,3.067602709,0.363669891,,53.627699579,,0.15133154,0.20177539,1.864153181,,0.36885954,101.36063229,0.00287635933,0.008171903,2.06416232,0.0852196077,30.83499452,0.15133154,0.112925523,235.12113828,0.025221923,0.12610961,0.066658071,1.16397807,0.10088769,494.111224,10.592383889,17.141655538,0.01595238012,0.287103507,1.3728930189,0.010517542,,11.438871443,1.0593208,,69.7620713,,0.02571326312,2.16963126,1.82241597,21.6132888018,0.55488235,0.0118710278,2.201173777,17.65592767,,0.74675006,,0.0043381709,0.163369373,0.39032698,0.02132465012,23.40676429,213.25644145,0.12610961,1.1104637454,0.075665772,0.709259821,0.050443847,,375.57874188,0.17655347,0.2031373739,0.016873468,0.17655347,1.336762,1.675846497,0.339022259,0.025221923,17.96739857,0.5308887503,0.3840683778,0.82020541,2.12847869,6.8875324325,4.677456621,28.292707676,1.3630781807,,13.20535865,8.07651411,40.3682731,8.98032829,155.23617213,1.84374165,2.96763667,393.92425205,1.9420881,,29.07861153,2.4415068723,0.008474566,,96.77073068,0.377385580667,,0.050443847,0.787530681,2.60269142,10.0247063,,1.927851537,,0.1792781187,12.1183277,,0.4705799842,10.513868609,0.171722155,0.00537227,0.22699732,0.2371426233,0.348029945,95.50341967,,2.90015902,,0.47921655,0.0064568124,5.473784508,4.00040379,11.798127047,0.8134217703,0.211986814,0.70030191,10.61916679,0.0010845427,0,6.0028181,82.2484469,23.3627171,0.177797545,32.63094425,1.62217325,15.58811251835,0.050443847,,0.287392981,9.959008817,13.62804441,0.680256333,112.621952757,10.82891654606,5.598940092,0.732419062,5.41383535,0.30118968,65.332003,1175.311924,4.607547898,0.077713223,0.018815555,0,0.050443847,0.050443847,0.0269416135,0.0181493373,0.0135487725,,41.961665,0.93321121,,0.025221923,0.42877272,70.47589171,48.63347563,,,82.140415491,2.20086148,1.42884849,11.1492022868,0.99952262266,0.235107608,51.35050377,0.27744117,28.728341688,6.86189972591,0.9745452103,,12.93582757,,27.93101497,0.2363327829,0.010946315,4.3856322472,3.1987991364,27.44708282,,0.075665772,0,,0.40772837,,1.0088769,2.7239557399,1902.5322809,0.050443847,226.12486773,0,6.7326143,,39.638709671,3.42947115,41.5881304,2.4213047,0.050443847,0.47921655,0.050443847,4.23764835,3.320067305
1981-01-01 00:00:00,0.750807145,4.54429056,16.835139956,0.17655347,1.44713267,0.12610961,40.029464069,,,69.504381455,28.440918255,1.5889813,3.97598415,3.356123016,0.388891801,,50.343826787,,0.15133154,0.17655347,2.0920075056,,0.38762177,98.43176634,0.0104035988,0.012863182,2.15062303,0.0852196077,30.43765464,0.15133154,0.113908204,231.85059915,0.050443847,0.12610961,0.091634326,1.27207291,0.10088769,492.035083,10.46772775,17.485999323,0.01590193612,0.343565848,1.4129372089,0.021110751,,11.6236344441,0.90798926,,69.1716697,,0.05093518712,2.20587385,1.87614316,17.7792929721,0.45399463,0.0153198827,2.158509777,20.51666982,,0.7538745,,0.0043633929,0.012037833,0.388612974,0.02127420612,22.38362466,206.77668357,0.10088769,1.0089482533,0.12610961,0.811458823,0.050443847,,362.19576378,0.20177539,0.1779154539,0.019319994,0.25221923,1.8664224,1.407965505,0.339022259,0.025221923,17.84070749,0.6065545303,0.2591871198,0.75657748,2.04355958,7.124367062,4.84832686,28.03120583,1.344311482,,12.17547177,7.81082611,37.9330785,9.11825919,151.47596428,2.01300782,2.513437445,393.40260421,2.3204169,,31.654857807,2.5179301681,0.010038326,,108.61712646,0.318020415392,,0.050443847,0.732910398,2.42613792,9.0085144,,1.7373138613,,0.17723446197,8.8705504,,0.422798024,11.008244572,0.221920335,0.0052209385,0.22699732,0.2383709736,0.291935704,105.4730514,,2.46730302,,0.5296604,0.0071378043,5.264262041,1.41972244,11.62936523,0.8344809587,0.217092513,0.673758584,13.047569625,0.0010845427,0,5.599267,77.25584802,24.2827515,0.177446327,33.99892453,1.72898812,17.045104076,0.050443847,,0.29974842,10.61946515,13.12989326,0.6670204541,103.482162686,9.201056577,5.579286488,0.731190707,5.07916581,0.317895245,64.4761962,1187.59273,4.6716275,0.151413628,0.019824432,0.0010088769,0.050443847,0.025221923,0.0269416135,0.0170395733,0.0135235515,,51.061988,0.90798926,,0.050443847,0.47921655,76.11451063,50.45880881,,,84.298968193,2.22346312,1.51401397,11.6794181692,0.88438605266,0.228803795,51.10246918,0.27744117,26.741264845,7.2445407641,1.0839299627,,13.8710494,,26.7345266,0.2111108529,0.016041143,4.2074068262,3.5120958789,26.12328192,,0.075665772,0,,0.30258222,,1.0088769,2.5623545538,1842.362333505,0.050443847,215.2336256,0,11.0042751,,43.057030324,3.44056556,43.370933507,2.4717486,0.050443847,0.47921655,0.050443847,4.698375948,3.315620825
1982-01-01 00:00:00,0.785470032,4.62095529,24.62456925,0.25221923,1.54646218,0.17655347,42.022359109,,,73.83768755,27.18990068,1.3619839,4.24005755,3.587427127,0.388891801,,47.281305797,,0.10088769,0.17655347,1.8368695656,,0.35594041,100.513318637,0.01345394709,0.012888404,2.34513459,0.0852196077,31.66956855,0.15133154,0.139621463,221.67031837,0.050443847,0.050443847,0.092371337,1.48187393,0.10088769,514.04433,9.384511767,18.5744493,0.01590193612,0.310810234,1.3620841289,0.020757644,,12.5994986131,0.98365504,,69.63317164,,0.02571326312,2.234433357,2.04637101,18.078494762,0.45399463,0.0150742126,2.297012044,22.91947003,,0.84722851,,0.0043633929,0.012037833,0.391469659,0.02571326312,21.80120555,200.74871341,0.15133154,1.0134933379,0.15133154,0.751331907,0.050443847,,357.42354876,0.17655347,0.17723446197,0.021463858,0.327885,1.4628716,1.443765087,0.339022259,0.025221923,17.18056491,0.5056668103,0.3684533208,0.78794111,2.04617919,7.51998194,5.30338606,27.9382809668,1.375089125,,11.65281021,7.73983129,43.5062542,9.508677438,148.28724895,1.88812648,2.18944202,380.91975286,2.6483021,,32.595829661,2.488045191,0.0099878823,,112.45020022,0.330100133784,,0.050443847,0.73634978,2.35227315,8.9319916,,1.6606311593,,0.17723446197,8.8201068,,0.390533748,11.452447465,0.177126897,0.0052209385,0.22699732,0.2410035807,0.300288485,111.59704823,,3.04772618,,0.545675892,0.0071378043,5.235255151,1.4331516,11.943396698,0.8177617503,0.224751099,0.520603504,13.000501646,0.0010845427,0,5.4227138,75.172642608,25.3614149,0.230683893,33.09440615,2.1168005,19.404569677,0.050443847,,0.2919925631,10.576779864,13.16405033,0.6283741291,104.010612608,12.166402782,5.574373087,0.729716692,5.9963108,0.33067009,67.98585,1238.49928,4.41077508,0.158783729,0.023052838,0.0010593208,0.050443847,0.050443847,0.0533918878,0.0183445631,0.0137692215,,49.616821,0.93321121,,0.050443847,0.47921655,81.39812278,50.71953937,,,91.33431715,2.28250546,1.64626533,12.3598552868,0.86424172266,0.220205343,46.70186529,0.27744117,26.192020775,7.397887161,1.0609190227,,13.53329127,,26.79366731,0.215778584,0.014956601,4.2310025802,3.3541109834,29.902037738,,0.050443847,0,,0.33812228,,1.0088769,2.43655790303,1764.542155847,0.050443847,212.0575461,0,10.4488628,,43.692171685,3.500219,44.33610584,2.9005213,0.075665772,0.47921655,0.050443847,5.045708465,3.096508475
1983-01-01 00:00:00,0.946382742,4.79883688,27.082643497,0.15133154,1.64972067,0.10088769,42.486499359,,,71.465647555,27.20374989,1.0340989,4.47890926,3.4229861787,0.414113711,,46.540028337,,0.15133154,0.20177539,1.8830142218,,0.35007714,100.720083293,0.01251064717,0.012863182,1.84442883,0.0852196077,32.21104417,0.15133154,0.1359364126,220.29161571,0.050443847,0.050443847,0.091388656,1.47573218,0.10088769,543.863333,9.234477387,18.612774549,0.01590193612,0.276518982,1.5213597789,0.020934196,,11.5189032871,1.0845428,,69.79639185,,0.0560942584,2.315308123,2.36056625,17.161059582,0.327885,0.0165482329,2.708362667,26.286696733504,,0.960154,,0.0043633929,0.012037833,0.324985037,0.02571326312,21.46067729,203.72821521,0.15133154,1.0439148733,0.205706111,1.02952421,0.050443847,,353.66042675,0.15133154,0.12679060197,0.020908974,0.327885,1.3872058,1.571656475,0.34025061,0.025221923,16.975263366,0.4300010703,0.3135898838,0.809478,1.35789442,8.4310254,4.932789151,28.24291332,1.489343075,,13.88799241,7.43956353,53.2084797,9.332170358,145.57801011,1.85111126,2.319707839,375.70106776,2.8248556,,34.51145291,2.439613591,0.010013103,,119.05401297,0.30090726218,,0.050443847,0.734384421,2.43129632,9.5909898,,1.5044108437,,0.25290022197,9.8069904,,0.4702733212,12.9215946,0.181303289,0.0052713822,0.22699732,0.2160273206,0.3112615424,105.21344069,,3.09986048,,0.387807221,0.0071378043,5.388069321,1.93702099,12.515444799,0.766730801,0.217705782,0.458919777,13.05121725,0.0010845427,0,4.9939408,71.826258988,26.5152358,0.286781847,36.37977348,2.4313179,19.661673088,0.050443847,,0.2746489141,9.885059273,12.93763349,0.6820596584,106.36380453,12.559992779,5.647168527,0.749370295,5.6289785,0.38258796,69.1500974,1267.092746,4.456277922,0.18842772,0.018765112,0.0010593208,0.050443847,0.025221923,0.0533918878,0.0183445631,0.0132778814,,53.537217,0.88276732,,0.050443847,0.45399463,83.88103669,54.96072179,,,93.49627252,2.23787487,1.59582153,12.2841892868,0.60489744266,0.176703279,47.69205831021,0.27744117,27.349302005,8.3625787255,0.9953637351,,14.4274617,,30.4359755,0.2064431215,0.016041143,4.6624503885,3.8015581228,31.230479342,,0.10088769,0,,0.32780414,,1.0088769,3.2108142,1755.36056967171,0.050443847,211.7314464,0,12.8771539,,42.005005204,3.46782682,45.40332677,2.62308,0.075665772,0.47921655,0.025221923,5.103971015,3.273130465
1984-01-01 00:00:00,0.950661536,4.90662158,28.92678508,0.17655347,1.49838917,0.12610961,45.988924939,,,74.303770455,27.75383063,0.93321121,4.31927975,4.197338062,0.388891801,,47.429485137,,0.15133154,0.20177539,1.8115384397,,0.3471455,111.73029392,0.01099733127,0.011829082,1.62469547,0.0852196077,32.22303611,0.15133154,0.1587016418,234.0527553005,0.050443847,0.050443847,0.092617007,1.50103617,0.050443847,589.54324,9.687491826,20.62124141,0.01615415512,0.281186715,1.4632186789,0.020934196,,11.9331606524,1.0913196535,,69.8307496,,0.0600249798,2.273220105,2.55170171,17.3264214848,0.27744117,0.016844346,2.350403327,28.833047923504,,0.94967231,,0.0043886146,0.012037833,0.3600197869,0.02571326312,22.50530377,209.24318255,0.12610961,1.1014153316,0.3085591717,0.91889182,0.050443847,,360.52210146,0.12610961,0.20245638197,0.0215143,0.37832886,0.47921655,1.346439832,0.340741949,0.050443847,17.131086755,0.5056668103,0.3184431258,0.84305273,1.27428394,8.9565842,5.19593533,27.398132203,1.570806573,,13.56493482,7.57147551,56.1017467,8.521342658,148.9691856,1.654411557,1.898980508,400.66009342,2.9257431,,36.064998914,2.412639361,0.0073648016,,128.1524161,0.28154119057,,0.050443847,0.634888655,2.33655027,9.6785097,,1.5207760324,,0.27812216197,10.2594714,,0.469617233,15.40920443,0.184005659,0.02083331,0.20177539,0.3413999201,0.334862382,105.97449857,,3.12023265,,0.567165867,0.0071630264,5.123518623,0.79137988,13.367645982,0.786712144,0.227917205,0.542479098,14.01758531,0.0010845427,0,4.691278,72.3189834179,27.2803649,0.293172836,37.13930804,2.5274638,20.324497665,0.050443847,,0.2785543791,10.187965531,12.24833322,0.762853373,111.83610553,13.01350513221,5.623697295,0.831177827,6.7802331,0.401913794,67.2787112,1341.702114,4.55862014,0.266550202,0.018815555,0.0010593208,0.050443847,0.025221923,0.054374568,0.0183183665,0.0137944425,,62.226019,1.0593208,,0.050443847,0.47921655,90.44343494,58.50207429,,,87.3465296,2.62693296,1.49149435,12.96462388234,0.58688204266,0.205921102,50.4692310203,0.27744117,26.349745855,9.2254962096,1.0525444631,,16.05138291,,35.2100441,0.2615546929,0.016091587,6.3244891508,4.149341237,33.1226813245,,0.10088769,0,,0.35212547,,1.0088769,3.1150034,1846.9150893953,0.050443847,207.86639759006,0,14.6621852,,42.764724185,3.37073279,53.1773049,3.329294,0.075665772,0.47921655,0.050443847,5.144822237,3.221311605
1985-01-01 00:00:00,0.949504482,4.92404611,26.47819189,0.17655347,1.82745963,0.12610961,43.642944439,,,78.301914755,28.21393138,0.83232349,5.16312979,4.346441685,0.439335661,,49.393352929,,0.17655347,0.17655347,1.6775947164,,0.4750043,119.43358971,0.01358762381,0.012182189,1.92549219,0.0852196077,32.73206184,0.15133154,0.1599299924,243.3926696913,0.050443847,0.050443847,0.090405976,1.57268969,0.050443847,612.565685,9.647417322,21.143060222,0.01378329412,0.426230775,1.4571584289,0.020883754,,12.1679473837,1.1446305812,,70.6110781,,0.06174467,2.328200979,2.6588565,19.5718682157,0.27744117,0.018068097,2.52145628,30.465249073504,,1.14194862,,0.0054227137,0.012037833,0.3580657719,0.02571326312,22.91795575,214.49362605,0.12610961,1.0978938786,0.2853026119,0.795061187,0.050443847,,374.11979898,0.30266309,0.17655347,0.022144848,0.327885,0.22699732,1.515459682,0.316994052,0.050443847,18.185607117,0.5056668103,0.3721596375,0.7928545,1.44224143,9.2784813,5.4941779,28.17758322,1.563122519,,14.27470484,7.73995962,60.3724899,9.011213058,149.26375955,1.91916186,1.694782529,401.44413082,3.0266309,,38.894815547,2.538280287,0.0073648016,,134.8549721,0.26140178095,,0.050443847,0.643732777,2.68965727,10.611393,,1.6143129693,,0.22699732,10.153842,,0.5190164022,17.55332414,0.209227589,0.022800619,0.25221923,0.3149496599,0.352743278,111.97106637,,3.68114432,,0.45600904,0.0077683525,5.504959761,0.74281873,13.768249098,0.869256687,0.228427771,0.58526449,15.050131193,0.0010845427,0,3.9093983,75.48643770521,23.2787634,0.254073626,36.8808784731,2.9909419,21.824777289,0.050443847,,0.3112048481,10.308136876,11.9699057,1.5368272684,116.3643676,12.89757879024,5.635489459,0.88474679099,6.1283474,0.42132173,67.32153844012,1398.511478,4.124109312,0.29201778,0.018815555,0.0010845427,0.050443847,0.050443847,0.0546202383,0.0208648059,0.0141727715,,68.367859,1.0340989,,0.050443847,0.47921655,92.15855112,62.6083335,,,89.80596233,2.34777268,1.65789384,12.5616302868,0.69032924,0.268956713,54.1360873804,0.30266309,28.949800708,9.66102539,1.0580911251,,17.61283083,,36.4441877,0.245668246,0.016722135,6.9075667343,4.249845422,37.29408735624,,0.10088769,0,,0.35605619,,1.0088769,2.8546759,1842.2751436236,0.054374568,218.90757857006,0,20.0947871,,43.377681471,3.34281851,54.8025428,3.7076228,0.075665772,0.45399463,0.050443847,5.170401462,3.461744795
1986-01-01 00:00:00,0.973769606,4.84973444,27.076861805,0.16940518,1.82575252,0.11663611,47.492514189,,0.036669347,79.611031455,27.7516737,0.81812912,5.57373699,4.710239594,0.458002281,,51.30266434,,0.17499161,0.174005,1.6983238685,,0.48570783,127.069859511,0.08437690295,0.0064675319,1.28605112,0.1030367027,33.01507901,0.17368367,0.1582689926,245.4723123418,0.038325094,0.016560487,0.106709765,1.72032901,0.098495021,633.292065,9.759465418,22.088337812,0.00916997752,0.369264431,1.4115927589,0.015802115,,12.4969354357,1.2047942185,,71.61153336,,0.067381773,2.470701913,2.31441048,20.0104157619,0.24506655,0.0158854079,2.721996864,31.155444037007,,1.11101799,,0.0043036169,0.191160173,0.4384668175,0.02663454412,23.6066954,218.88178234,0.13407324,1.1765200373,0.3529588624,0.713932724,0.055413753,,383.26717632,0.46668553,0.12010383,0.023859309,0.3426642618,0.38744855,1.606267372,0.395725612,0.039668437,18.81069145,0.4823266703,0.3541065028,0.92398077,1.90113272,10.1703043,5.897186001,28.292147252,1.623994811,,15.6498976,8.33911375,60.99126629,9.73403041,151.35213206,1.96336252,1.699099461,404.34846677006,3.28619911021,,41.79752873,2.657067021,0.0055175731,,145.38745404012,0.2760491359,,0.059208617,0.521510774,2.53262612,11.1317863,,1.7052328337,,0.31980455,11.3993248,,0.3719094142,18.76125449,0.167065751,0.024623433,0.26162538,0.1857484915,0.447088725,110.76800577,,3.97788473,,0.520579339,0.004383848,5.887844511,0.3619005429,14.884017358,0.845804442,0.193801309,0.566217339,14.721057945,0.0010946315,0,3.8213103,79.37236133027,23.4981024,0.340224828,36.742514079,3.3954933,23.24192006,0.048070338,,0.3025265611,11.106835129,12.0586635,3.4909769131,121.20226298,13.94964898012,5.789169906,0.88994615099,6.4465084,0.40621527,69.33732237006,1442.174466,4.25540962,0.27655642,0.017771494,0.0010946315,0.059330288,0.045370962,0.0407284313,0.019390501,0.0130231225,,75.879442,1.0086428,,0.043478411,0.50905502,93.32618893,68.399663112,,,90.82462256,2.33353489,1.84106344,14.38687088234,0.64404141,0.24198691,55.4783459404,0.31285891,29.214226665,9.68095129,1.2212894451,,18.5647819,,38.6220909,0.207743806,0.0098692635,5.1824766472,4.4967658797,41.9786591521,,0.10720039,0,,0.38641596,,1.0725992,3.015209,1851.7079328042,0.0484049378,225.54245987006,0,22.883153,,46.886831745,3.33670977,55.0086456,3.5441635,0.067924507,0.46606767,0.041544266,5.560743852,3.845236015
1987-01-01 00:00:00,1.57768406,4.88175574,28.9667881,0.1758727,1.88376401,0.14517531,48.687304289,,0.036669347,83.300386355,26.96028678,0.9128902,6.70446998,5.085695417,0.436083931,,53.2460506804,,0.13533421,0.25088638,1.670442577,,0.52750989,130.17525563,0.3069488871,0.016665941,2.05389547,0.0841774127,32.94018549,0.18138127,0.159497343,253.9913340118,0.040477734,0.017584071,0.098817722,1.63235822,0.087482795,670.484745,10.140070136,20.956949894,0.01936256012,0.448835262,1.5600300189,0.015802115,,12.293779725,1.317442626,,73.4880343,,0.078939019,2.35161842,2.220917652,19.9559312549,0.25040603,0.020967004,2.991433764,32.397199257007,,1.24966108,,0.0043036169,0.197998173,0.3716588368,0.02765812612,25.6118944,222.33552052,0.15313648,1.1544602492,0.3566530724,0.8283715,0.067465946,,383.16794286,0.47770408,0.08309295,0.029374411,0.3962133718,0.27267084,1.618148213,0.422407532,0.068460122,20.32946172012,0.3665812503,0.5338660105,0.89353645,2.08995645,11.3127113,5.819784853,29.401855501,1.684480239,,16.06583212,8.27703395,63.73622022,10.6956372177,157.079783389,2.15761451,1.867310513,415.10650811006,3.5269229315,,43.86611766,2.440708972,0.0064962343,,153.44888981021,0.20487747195,,0.059208617,0.407640542,2.66570152,11.4462405,,1.944370424,,0.34866774,13.5366349,,0.516774394,18.82212181,0.190153081,0.024623433,0.29892811,0.2575928433,0.394482304,113.7337233,,4.16276396,,0.59256533,0.0054888707,5.918557323,0.3638236717,15.245126322,0.884123661,0.208861653,0.561957506,15.542806437,0.0010946315,0,3.8348384,81.63944324018,23.1532973,0.394073614,37.7021851757,3.5019795,25.08956599,0.048070338,,0.3158049801,11.173176835,13.6631333,5.264599088,127.023094117,14.24023998006,5.791080623,0.97717418099,6.6078194,0.45028274,71.25850134012,1475.880962,4.410890726,0.27802166,0.017771494,0.0022296181,0.076272815,0.049469549,0.0402370911,0.0201275111,0.0132687925,,77.336907,1.0208158,,0.050679319,0.3760975,96.88191791,75.29944843,,,92.99317775,2.48778351,1.77756927,15.92672688234,0.471189593,0.26043981,57.0145242104,0.3428188,29.35420798,10.82558886,1.1259690131,,21.02652569,,41.5534572,0.195381626,0.021885745,4.818556431,4.165932982,46.178310643,,0.11321325,0,,0.35151596,,1.076998,3.1945036,1915.05641622638,0.0484049378,225.68860965,0,26.959391,,47.745343513,2.99121998,55.4420275,3.5146031,0.069058262,0.46606767,0.036708366,6.322498252,4.549283335
1988-01-01 00:00:00,2.794249758,4.93912372,30.839914483,0.17097473,1.94486343,0.14556357,49.222174989,,0.14048998,86.85296863,28.45996136,0.84971488,5.77464805,5.690588941,0.410629878,,54.5490543505,,0.1712078,0.27381077,1.922791703,,0.61150761,134.888663689,0.3961305757,0.01670897,1.77919841,0.0643054627,33.248501,0.190216,0.172170143,264.5132042113,0.098574743,0.024284096,0.099277425,1.63709309,0.053144965,713.288946,11.168825794,22.46150697,0.01939199312,0.360232012,1.6970701689,0.015845396,,12.479196857,1.3180279,,71.5400375,,0.114575705,2.59475593,2.140475545,19.2778787019,0.2452884,0.022375539,3.3212771561,32.763359947007,,1.22735469,,0.0074891457,0.208262144,0.3731864969,0.02772988212,25.6202326,226.01601615,0.17596868,1.2626020269,0.357545784,0.876523731,0.067647897,,383.81356758012,0.62665522,0.19443327,0.030500771,0.4362972818,0.28214476,1.778933417,0.428486429,0.078718632,21.7546706303,0.3623363303,0.5812617215,1.12274036,2.3038539,12.2150522,6.027752605,28.510346101,1.783902493,,19.33810035,8.0896573,68.0539977,11.2553897107,160.72435579,2.24242487,2.1153725988,439.61286039006,3.3012819917,,47.45920563,2.785093274,0.0065108882,,169.5751766204,0.19427075195,,0.039845519,0.509393319,2.40044223,11.7196846,,1.982506366,,0.33910343,15.6548925,,0.563873099,19.92113234,0.120946065,0.030059187,0.36455673,0.3325264133,0.5288593,115.9720915,,4.37482193,,0.65618732,0.005489476,6.276592933,0.541132823,16.312831522,0.89888906,0.301059525,0.60499254,16.647025192,0.0010946315,0,3.6227756,81.67367744112,27.1515762,0.381154802,38.96943194,3.283045,26.863680004,0.048192892,,0.3178994311,11.141095902,14.6182213,5.5678628283,124.937422368,15.86806400012,5.796621471,0.92088091099,6.7643599,0.48680248,70.40087914012,1526.413074,4.37117345,0.277201321,0.018919874,0.0022296181,0.076603092,0.063148834,0.0403352041,0.0235454444,0.0132971425,,80.275751,0.87503421,,0.060728669,0.37724981,98.92565494,83.8454442,,,98.13257132,2.45994379,1.91659293,16.96751788234,0.55232674,0.259578098,55.9729244303,0.3729924,29.93333961,11.35957796,1.2020574331,,23.70073242,,45.08781229,0.202623096,0.027367325,4.9927120333,4.48147093,46.122907844,,0.16714473,0,,0.4489534,,1.0529778,3.1249368,2002.95536501222,0.0656726238,226.74281842012,0,29.53343,,48.095682541,3.07304912,55.8404031,3.6250556,0.069222681,0.46211046,0.047556948,6.403993583,4.477295455
1989-01-01 00:00:00,2.745300293,4.7128745,29.767003726,0.19688715,1.87959096,0.14517531,48.592986289,,0.18675573,91.88617801,28.75872128,0.9716748,5.90471081,6.152688989,0.446927424,,55.0145376575,,0.17557968,0.33087161,2.177431645,,0.69221637,137.88635028,0.3952845055,0.016665941,2.09031677,0.0927832587,30.6777813,0.17047541,0.172715983,265.8411433118,0.098317578,0.029591775,0.099063392,1.89728073,0.058276594,704.969043,12.5178322,23.70933267,0.01936256012,0.425009624,1.84411433,0.015802115,,12.656083467,1.632634463,,71.7445062,,0.127132656,2.68361966,2.214351122,17.7154537026,0.57646698,0.022334074,3.2321438029,33.788249527007,,1.28806644,,0.010724992,0.228379325,0.4267056027,0.04374560412,25.6400277,230.95923561,0.2023679,1.2715841206,0.361965464,1.092958471,0.067465946,,373.67671682012,0.5327633,0.17142804,0.030430101,0.4807252418,0.26207924,1.852139425,0.414068713,0.079621404,22.85188300006,0.2437225003,0.5347705476,1.29495764,2.5271615,12.5893383,5.887115805,28.498761931,1.847132491,,20.79163433,8.51907442,74.711118,11.61827542021,165.08116360722,2.24574737,2.453236623,452.74073983006,3.4004095813,,53.10130356,2.998911039,0.0064962343,,178.6612044404,0.24698995895,,0.059208617,0.424218577,1.90029109,12.1261129,,2.1902027574,,0.36021829,17.5082573,,0.4211639414,21.5894735,0.206897779,0.029985942,0.5035674,0.3817328733,0.614238881,122.0609677,,4.14540116,,0.7305282,0.0054888707,7.003220933,0.431676743,16.314379752,0.967651485,0.308641264,0.65910542,18.016945938,0.0010946315,0,3.7918549,82.2957433935,22.5246356,0.3519345973,40.939490199,4.2391847,28.297377605,0.048070338,,0.3565132991,9.997001527,16.3651778,6.8249875589,120.569943209,17.19850399006,5.808925101,0.94314381099,7.0116793,0.53740353,72.99164804012,1506.8347254219,4.251493133,0.285103861,0.018877046,0.0022296181,0.092482716,0.062994502,0.0509268423,0.0327625773,0.0132687925,,78.694718,0.90458822,,0.060584575,0.38642129,99.3119148,90.55051139,,,102.47446606,2.37065216,1.86195488,18.4245492529,0.73487553,0.275256038,54.7080136603,0.36272132,28.43240013,12.13589982,1.2238767031,,27.874893,,47.5455985,0.238317757,0.033807669,5.3454187472,5.0118187116,50.815413324,,0.17392828,0,,0.44574113,,1.0488386,2.6668626,2059.216400502,0.1053704938,227.1942481706,0,31.984516,,51.134166328,2.64866707,55.7249597,3.8719249,0.069058262,0.46084788,0.041645534,6.423250253,4.808181565
